"N;Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [ÎĽSv/h];Standard deviation;Standard error of the mean value;CF;Number of measured points".
1;2022-09-09;10:02:37;46.142;14.587;37.063;352.209;averaged;0.067;0.007;0.001;0;63".
"2;2022-09-09;10:03:14;46.142;14.587;57.574;357.494;averaged;0.06;0.002;0;0;37".
"3;2022-09-09;10:03:16;46.142;14.587;5.36;352.648;averaged;0.062;0.002;0.002;0;2".
"4;2022-09-09;10:03:18;46.142;14.587;5.36;353.355;averaged;0.063;0;0;0;2".
"5;2022-09-09;10:03:19;46.142;14.587;3.79;354.318;gps;0.061;0;0;0;1".
"6;2022-09-09;10:03:20;46.142;14.587;3.79;353.159;gps;0.059;0;0;0;1".
"7;2022-09-09;10:03:21;46.142;14.587;3.79;353.043;gps;0.059;0;0;0;1".
"8;2022-09-09;10:03:22;46.142;14.587;3.79;353.437;gps;0.06;0;0;0;1".
"9;2022-09-09;10:03:23;46.142;14.587;3.79;353.144;gps;0.06;0;0;0;1".
"10;2022-09-09;10:03:24;46.142;14.587;3.79;352.891;gps;0.063;0;0;0;1".
"11;2022-09-09;10:03:25;46.142;14.587;3.79;352.86;gps;0.062;0;0;0;1".
"12;2022-09-09;10:03:26;46.142;14.587;3.79;353.139;gps;0.06;0;0;0;1".
"13;2022-09-09;10:03:27;46.142;14.587;3.79;352.947;gps;0.06;0;0;0;1".
"14;2022-09-09;10:03:28;46.141;14.587;3.79;352.712;gps;0.063;0;0;0;1".
"15;2022-09-09;10:03:29;46.141;14.587;3.79;352.974;gps;0.064;0;0;0;1".
"16;2022-09-09;10:03:30;46.141;14.587;3.79;352.706;gps;0.063;0;0;0;1".
"17;2022-09-09;10:03:31;46.141;14.587;3.79;352.664;gps;0.062;0;0;0;1".
"18;2022-09-09;10:03:32;46.141;14.587;3.79;352.387;gps;0.061;0;0;0;1".
"19;2022-09-09;10:03:33;46.141;14.587;3.79;352.622;gps;0.06;0;0;0;1".
"20;2022-09-09;10:03:34;46.141;14.587;3.79;352.236;gps;0.062;0;0;0;1".
"21;2022-09-09;10:03:35;46.141;14.587;3.79;352.257;gps;0.061;0;0;0;1".
"22;2022-09-09;10:03:36;46.141;14.587;3.79;352.241;gps;0.058;0;0;0;1".
"23;2022-09-09;10:03:37;46.141;14.587;3.79;351.317;gps;0.057;0;0;0;1".
"24;2022-09-09;10:03:39;46.141;14.587;5.36;351.555;averaged;0.057;0;0;0;2".
"25;2022-09-09;10:03:41;46.141;14.587;5.36;351.77;averaged;0.057;0.001;0;0;2".
"26;2022-09-09;10:03:43;46.141;14.588;5.36;351.814;averaged;0.058;0.001;0.001;0;2".
"27;2022-09-09;10:03:45;46.141;14.588;3.79;351.576;gps;0.06;0;0;0;1".
"28;2022-09-09;10:03:46;46.141;14.588;3.79;351.387;gps;0.063;0;0;0;1".
"29;2022-09-09;10:03:47;46.141;14.588;3.79;351.475;gps;0.067;0;0;0;1".
"30;2022-09-09;10:03:49;46.141;14.588;5.36;351.134;averaged;0.064;0;0;0;2".
"31;2022-09-09;10:03:52;46.14;14.588;6.565;350.227;averaged;0.063;0.001;0;0;3".
"32;2022-09-09;10:03:54;46.14;14.588;5.36;350.886;averaged;0.064;0;0;0;2".
"33;2022-09-09;10:03:56;46.14;14.588;5.36;350.125;averaged;0.062;0;0;0;2".
"34;2022-09-09;10:03:59;46.14;14.588;6.565;348.951;averaged;0.062;0.001;0;0;3".
"35;2022-09-09;10:04:03;46.14;14.588;7.58;347.748;averaged;0.059;0.001;0;0;4".
"36;2022-09-09;10:04:06;46.14;14.588;6.565;348.458;averaged;0.059;0.001;0;0;3".
"37;2022-09-09;10:04:08;46.14;14.588;5.36;349.674;averaged;0.062;0.001;0;0;2".
"38;2022-09-09;10:04:10;46.14;14.588;5.36;350.71;averaged;0.062;0.001;0.001;0;2".
"39;2022-09-09;10:04:11;46.14;14.588;3.79;351.035;gps;0.063;0;0;0;1".
"40;2022-09-09;10:04:12;46.14;14.588;3.79;350.662;gps;0.062;0;0;0;1".
"41;2022-09-09;10:04:13;46.14;14.588;3.79;350.146;gps;0.062;0;0;0;1".
"42;2022-09-09;10:04:14;46.14;14.588;3.79;349.966;gps;0.062;0;0;0;1".
"43;2022-09-09;10:04:15;46.14;14.588;3.79;350.456;gps;0.063;0;0;0;1".
"44;2022-09-09;10:04:16;46.14;14.588;3.79;349.95;gps;0.064;0;0;0;1".
"45;2022-09-09;10:04:17;46.14;14.588;3.79;350.125;gps;0.065;0;0;0;1".
"46;2022-09-09;10:04:18;46.14;14.588;3.79;350.704;gps;0.065;0;0;0;1".
"47;2022-09-09;10:04:19;46.14;14.588;3.79;350.83;gps;0.065;0;0;0;1".
"48;2022-09-09;10:04:20;46.14;14.588;3.79;350.942;gps;0.067;0;0;0;1".
"49;2022-09-09;10:04:21;46.14;14.588;3.79;350.954;gps;0.067;0;0;0;1".
"50;2022-09-09;10:04:22;46.14;14.588;3.79;351.129;gps;0.065;0;0;0;1".
"51;2022-09-09;10:04:23;46.139;14.588;3.79;351.029;gps;0.063;0;0;0;1".
"52;2022-09-09;10:04:24;46.139;14.588;3.79;350.5;gps;0.063;0;0;0;1".
"53;2022-09-09;10:04:25;46.139;14.588;3.79;350.315;gps;0.063;0;0;0;1".
"54;2022-09-09;10:04:26;46.139;14.588;3.79;349.605;gps;0.063;0;0;0;1".
"55;2022-09-09;10:04:27;46.139;14.588;3.79;349.437;gps;0.065;0;0;0;1".
"56;2022-09-09;10:04:28;46.139;14.588;3.79;348.684;gps;0.069;0;0;0;1".
"57;2022-09-09;10:04:29;46.139;14.588;3.79;348.828;gps;0.07;0;0;0;1".
"58;2022-09-09;10:04:31;46.139;14.588;5.36;348.729;averaged;0.07;0;0;0;2".
"59;2022-09-09;10:04:33;46.139;14.588;5.36;348.918;averaged;0.071;0.001;0.001;0;2".
"60;2022-09-09;10:04:35;46.139;14.588;5.36;349.749;averaged;0.072;0.001;0;0;2".
"61;2022-09-09;10:04:37;46.139;14.588;5.36;350.311;averaged;0.067;0.001;0.001;0;2".
"62;2022-09-09;10:04:39;46.139;14.589;5.36;350.801;averaged;0.066;0;0;0;2".
"63;2022-09-09;10:04:40;46.139;14.589;3.79;350.04;gps;0.065;0;0;0;1".
"64;2022-09-09;10:04:41;46.138;14.589;3.79;349.79;gps;0.063;0;0;0;1".
"65;2022-09-09;10:04:42;46.138;14.589;3.79;349.693;gps;0.061;0;0;0;1".
"66;2022-09-09;10:04:43;46.138;14.589;3.79;349.633;gps;0.062;0;0;0;1".
"67;2022-09-09;10:04:44;46.138;14.589;3.79;349.38;gps;0.062;0;0;0;1".
"68;2022-09-09;10:04:45;46.138;14.589;3.79;349.68;gps;0.061;0;0;0;1".
"69;2022-09-09;10:04:46;46.138;14.589;3.79;348.994;gps;0.061;0;0;0;1".
"70;2022-09-09;10:04:46;46.138;14.589;3.79;349.286;gps;0.061;0;0;0;1".
"71;2022-09-09;10:04:48;46.138;14.589;3.79;349.421;gps;0.061;0;0;0;1".
"72;2022-09-09;10:04:49;46.138;14.589;3.79;349.188;gps;0.06;0;0;0;1".
"73;2022-09-09;10:04:50;46.138;14.589;3.79;349.134;gps;0.06;0;0;0;1".
"74;2022-09-09;10:04:50;46.138;14.589;3.79;349.17;gps;0.059;0;0;0;1".
"75;2022-09-09;10:04:52;46.138;14.589;3.79;349.06;gps;0.059;0;0;0;1".
"76;2022-09-09;10:04:52;46.138;14.589;3.79;349.935;gps;0.06;0;0;0;1".
"77;2022-09-09;10:04:54;46.138;14.589;5.36;350.014;averaged;0.062;0.001;0;0;2".
"78;2022-09-09;10:05:12;46.138;14.589;16.08;350.265;averaged;0.062;0.002;0.001;0;18".
"79;2022-09-09;10:05:14;46.138;14.589;5.36;349.69;averaged;0.057;0.001;0;0;2".
"80;2022-09-09;10:05:16;46.138;14.589;5.36;349.227;averaged;0.058;0.001;0.001;0;2".
"81;2022-09-09;10:05:17;46.138;14.589;3.79;350.235;gps;0.059;0;0;0;1".
"82;2022-09-09;10:05:18;46.138;14.589;3.79;350.15;gps;0.059;0;0;0;1".
"83;2022-09-09;10:05:19;46.138;14.59;3.79;349.832;gps;0.06;0;0;0;1".
"84;2022-09-09;10:05:20;46.138;14.59;3.79;349.725;gps;0.06;0;0;0;1".
"85;2022-09-09;10:05:21;46.138;14.59;3.79;349.823;gps;0.062;0;0;0;1".
"86;2022-09-09;10:05:22;46.138;14.59;3.79;349.733;gps;0.063;0;0;0;1".
"87;2022-09-09;10:05:23;46.138;14.59;3.79;349.148;gps;0.065;0;0;0;1".
"88;2022-09-09;10:05:24;46.138;14.59;3.79;349.365;gps;0.066;0;0;0;1".
"89;2022-09-09;10:05:25;46.138;14.59;3.79;350.051;gps;0.068;0;0;0;1".
"90;2022-09-09;10:05:26;46.138;14.59;3.79;349.617;gps;0.07;0;0;0;1".
"91;2022-09-09;10:05:27;46.138;14.59;3.79;349.457;gps;0.069;0;0;0;1".
"92;2022-09-09;10:05:28;46.138;14.591;3.79;349.493;gps;0.071;0;0;0;1".
"93;2022-09-09;10:05:29;46.138;14.591;3.79;349.523;gps;0.069;0;0;0;1".
"94;2022-09-09;10:05:30;46.138;14.591;3.79;349.476;gps;0.069;0;0;0;1".
"95;2022-09-09;10:05:31;46.138;14.591;3.79;349.496;gps;0.069;0;0;0;1".
"96;2022-09-09;10:05:32;46.138;14.591;3.79;349.35;gps;0.067;0;0;0;1".
"97;2022-09-09;10:05:33;46.138;14.591;3.79;348.927;gps;0.066;0;0;0;1".
"98;2022-09-09;10:05:34;46.138;14.591;3.79;349.45;gps;0.066;0;0;0;1".
"99;2022-09-09;10:05:35;46.138;14.591;3.79;349.029;gps;0.068;0;0;0;1".
"100;2022-09-09;10:05:36;46.138;14.591;3.79;348.613;gps;0.069;0;0;0;1".
"101;2022-09-09;10:05:37;46.138;14.591;3.79;349.188;gps;0.069;0;0;0;1".
"102;2022-09-09;10:05:38;46.138;14.592;3.79;349.529;gps;0.068;0;0;0;1".
"103;2022-09-09;10:05:39;46.138;14.592;3.79;349.151;gps;0.066;0;0;0;1".
"104;2022-09-09;10:05:40;46.138;14.592;3.79;349.666;gps;0.066;0;0;0;1".
"105;2022-09-09;10:05:41;46.138;14.592;3.79;349.646;gps;0.065;0;0;0;1".
"106;2022-09-09;10:05:42;46.138;14.592;3.79;349.594;gps;0.063;0;0;0;1".
"107;2022-09-09;10:05:43;46.138;14.592;3.79;349.307;gps;0.063;0;0;0;1".
"108;2022-09-09;10:05:44;46.138;14.592;3.79;349.103;gps;0.063;0;0;0;1".
"109;2022-09-09;10:05:45;46.138;14.592;3.79;349.108;gps;0.062;0;0;0;1".
"110;2022-09-09;10:05:46;46.138;14.592;3.79;349.025;gps;0.063;0;0;0;1".
"111;2022-09-09;10:05:47;46.138;14.593;3.79;348.887;gps;0.063;0;0;0;1".
"112;2022-09-09;10:05:48;46.138;14.593;3.79;348.952;gps;0.061;0;0;0;1".
"113;2022-09-09;10:05:49;46.138;14.593;3.79;349.001;gps;0.059;0;0;0;1".
"114;2022-09-09;10:05:50;46.138;14.593;3.79;348.81;gps;0.06;0;0;0;1".
"115;2022-09-09;10:05:51;46.138;14.593;3.79;348.433;gps;0.061;0;0;0;1".
"116;2022-09-09;10:05:52;46.138;14.593;3.79;348.37;gps;0.06;0;0;0;1".
"117;2022-09-09;10:05:53;46.138;14.593;3.79;348.299;gps;0.06;0;0;0;1".
"118;2022-09-09;10:05:54;46.138;14.593;3.79;348.298;gps;0.06;0;0;0;1".
"119;2022-09-09;10:05:55;46.138;14.593;3.79;347.504;gps;0.061;0;0;0;1".
"120;2022-09-09;10:05:56;46.138;14.594;3.79;347.816;gps;0.062;0;0;0;1".
"121;2022-09-09;10:05:57;46.138;14.594;3.79;346.315;gps;0.061;0;0;0;1".
"122;2022-09-09;10:05:58;46.138;14.594;3.79;347.025;gps;0.059;0;0;0;1".
"123;2022-09-09;10:05:59;46.138;14.594;3.79;346.962;gps;0.058;0;0;0;1".
"124;2022-09-09;10:06:00;46.138;14.594;3.79;347.814;gps;0.059;0;0;0;1".
"125;2022-09-09;10:06:01;46.138;14.594;3.79;347.556;gps;0.059;0;0;0;1".
"126;2022-09-09;10:06:02;46.138;14.594;3.79;347.269;gps;0.059;0;0;0;1".
"127;2022-09-09;10:06:03;46.138;14.594;3.79;347.968;gps;0.06;0;0;0;1".
"128;2022-09-09;10:06:04;46.138;14.595;3.79;347.822;gps;0.061;0;0;0;1".
"129;2022-09-09;10:06:05;46.138;14.595;3.79;347.897;gps;0.062;0;0;0;1".
"130;2022-09-09;10:06:06;46.138;14.595;3.79;348.624;gps;0.064;0;0;0;1".
"131;2022-09-09;10:06:07;46.138;14.595;3.79;348.351;gps;0.068;0;0;0;1".
"132;2022-09-09;10:06:08;46.138;14.595;3.79;349.446;gps;0.068;0;0;0;1".
"133;2022-09-09;10:06:09;46.138;14.595;3.79;347.635;gps;0.066;0;0;0;1".
"134;2022-09-09;10:06:10;46.138;14.595;3.79;347.14;gps;0.065;0;0;0;1".
"135;2022-09-09;10:06:11;46.138;14.595;3.79;347.479;gps;0.064;0;0;0;1".
"136;2022-09-09;10:06:12;46.138;14.596;3.79;347.5;gps;0.061;0;0;0;1".
"137;2022-09-09;10:06:13;46.138;14.596;3.79;347.936;gps;0.059;0;0;0;1".
"138;2022-09-09;10:06:14;46.138;14.596;3.79;347.827;gps;0.06;0;0;0;1".
"139;2022-09-09;10:06:15;46.138;14.596;3.79;347.635;gps;0.059;0;0;0;1".
"140;2022-09-09;10:06:16;46.138;14.596;3.79;347.738;gps;0.057;0;0;0;1".
"141;2022-09-09;10:06:17;46.138;14.596;3.79;347.621;gps;0.057;0;0;0;1".
"142;2022-09-09;10:06:18;46.138;14.596;3.79;347.38;gps;0.058;0;0;0;1".
"143;2022-09-09;10:06:19;46.138;14.596;3.79;347.514;gps;0.058;0;0;0;1".
"144;2022-09-09;10:06:20;46.138;14.597;3.79;347.215;gps;0.06;0;0;0;1".
"145;2022-09-09;10:06:21;46.138;14.597;3.79;347.235;gps;0.063;0;0;0;1".
"146;2022-09-09;10:06:22;46.138;14.597;3.79;347.221;gps;0.061;0;0;0;1".
"147;2022-09-09;10:06:23;46.138;14.597;3.79;347.019;gps;0.061;0;0;0;1".
"148;2022-09-09;10:06:24;46.138;14.597;3.79;347.086;gps;0.06;0;0;0;1".
"149;2022-09-09;10:06:25;46.138;14.597;3.79;347.212;gps;0.061;0;0;0;1".
"150;2022-09-09;10:06:26;46.138;14.597;3.79;347.115;gps;0.061;0;0;0;1".
"151;2022-09-09;10:06:27;46.138;14.597;3.79;347.006;gps;0.058;0;0;0;1".
"152;2022-09-09;10:06:28;46.138;14.597;3.79;347.318;gps;0.058;0;0;0;1".
"153;2022-09-09;10:06:29;46.138;14.598;3.79;347.079;gps;0.059;0;0;0;1".
"154;2022-09-09;10:06:30;46.138;14.598;3.79;346.844;gps;0.059;0;0;0;1".
"155;2022-09-09;10:06:31;46.138;14.598;3.79;347.058;gps;0.059;0;0;0;1".
"156;2022-09-09;10:06:32;46.138;14.598;3.79;346.986;gps;0.059;0;0;0;1".
"157;2022-09-09;10:06:33;46.138;14.598;3.79;346.683;gps;0.058;0;0;0;1".
"158;2022-09-09;10:06:34;46.138;14.598;3.79;345.867;gps;0.057;0;0;0;1".
"159;2022-09-09;10:06:35;46.138;14.598;3.79;346.329;gps;0.057;0;0;0;1".
"160;2022-09-09;10:06:36;46.138;14.598;3.79;346.096;gps;0.055;0;0;0;1".
"161;2022-09-09;10:06:37;46.138;14.599;3.79;346.048;gps;0.054;0;0;0;1".
"162;2022-09-09;10:06:39;46.138;14.599;5.36;346.21;averaged;0.054;0.003;0.002;0;2".
"163;2022-09-09;10:06:41;46.138;14.599;5.36;346.566;averaged;0.057;0.001;0;0;2".
"164;2022-09-09;10:06:58;46.138;14.599;15.627;345.89;averaged;0.058;0.002;0.001;0;17".
"165;2022-09-09;10:07:00;46.137;14.599;5.36;348.297;averaged;0.058;0;0;0;2".
"166;2022-09-09;10:07:01;46.137;14.599;3.79;348.642;gps;0.056;0;0;0;1".
"167;2022-09-09;10:07:03;46.137;14.599;3.79;348.788;gps;0.054;0;0;0;1".
"168;2022-09-09;10:07:04;46.137;14.599;3.79;348.727;gps;0.054;0;0;0;1".
"169;2022-09-09;10:07:05;46.137;14.599;3.79;348.745;gps;0.052;0;0;0;1".
"170;2022-09-09;10:07:06;46.137;14.599;3.79;348.748;gps;0.051;0;0;0;1".
"171;2022-09-09;10:07:07;46.137;14.599;3.79;348.71;gps;0.051;0;0;0;1".
"172;2022-09-09;10:07:08;46.137;14.599;3.79;348.415;gps;0.054;0;0;0;1".
"173;2022-09-09;10:07:09;46.137;14.599;3.79;348.02;gps;0.055;0;0;0;1".
"174;2022-09-09;10:07:10;46.137;14.599;3.79;348.384;gps;0.057;0;0;0;1".
"175;2022-09-09;10:07:11;46.137;14.599;3.79;345.748;gps;0.055;0;0;0;1".
"176;2022-09-09;10:07:12;46.137;14.6;3.79;346.925;gps;0.056;0;0;0;1".
"177;2022-09-09;10:07:13;46.137;14.6;3.79;346.059;gps;0.057;0;0;0;1".
"178;2022-09-09;10:07:14;46.136;14.6;3.79;346.102;gps;0.058;0;0;0;1".
"179;2022-09-09;10:07:15;46.136;14.6;3.79;345.731;gps;0.059;0;0;0;1".
"180;2022-09-09;10:07:16;46.136;14.6;3.79;344.779;gps;0.06;0;0;0;1".
"181;2022-09-09;10:07:17;46.136;14.6;3.79;345.103;gps;0.06;0;0;0;1".
"182;2022-09-09;10:07:18;46.136;14.6;3.79;345.186;gps;0.059;0;0;0;1".
"183;2022-09-09;10:07:19;46.136;14.6;3.79;344.455;gps;0.06;0;0;0;1".
"184;2022-09-09;10:07:20;46.136;14.601;3.79;345.209;gps;0.06;0;0;0;1".
"185;2022-09-09;10:07:21;46.136;14.601;3.79;344.904;gps;0.059;0;0;0;1".
"186;2022-09-09;10:07:22;46.136;14.601;3.79;345.144;gps;0.06;0;0;0;1".
"187;2022-09-09;10:07:23;46.136;14.601;3.79;345.935;gps;0.06;0;0;0;1".
"188;2022-09-09;10:07:24;46.136;14.601;3.79;346.87;gps;0.06;0;0;0;1".
"189;2022-09-09;10:07:25;46.136;14.601;3.79;346.766;gps;0.06;0;0;0;1".
"190;2022-09-09;10:07:26;46.136;14.602;3.79;346.594;gps;0.059;0;0;0;1".
"191;2022-09-09;10:07:27;46.136;14.602;3.79;346.548;gps;0.059;0;0;0;1".
"192;2022-09-09;10:07:28;46.136;14.602;3.79;346.793;gps;0.058;0;0;0;1".
"193;2022-09-09;10:07:29;46.136;14.602;3.79;347.376;gps;0.056;0;0;0;1".
"194;2022-09-09;10:07:30;46.136;14.602;3.79;348.259;gps;0.057;0;0;0;1".
"195;2022-09-09;10:07:31;46.136;14.602;3.79;347.895;gps;0.056;0;0;0;1".
"196;2022-09-09;10:07:32;46.136;14.602;3.79;348.111;gps;0.054;0;0;0;1".
"197;2022-09-09;10:07:33;46.136;14.603;3.79;348.042;gps;0.054;0;0;0;1".
"198;2022-09-09;10:07:34;46.136;14.603;3.79;348.059;gps;0.056;0;0;0;1".
"199;2022-09-09;10:07:35;46.136;14.603;3.79;348.247;gps;0.056;0;0;0;1".
"200;2022-09-09;10:07:36;46.136;14.603;3.79;348.156;gps;0.059;0;0;0;1".
"201;2022-09-09;10:07:37;46.136;14.603;3.79;347.89;gps;0.062;0;0;0;1".
"202;2022-09-09;10:07:38;46.136;14.603;3.79;348.356;gps;0.062;0;0;0;1".
"203;2022-09-09;10:07:39;46.136;14.604;3.79;349.659;gps;0.062;0;0;0;1".
"204;2022-09-09;10:07:40;46.136;14.604;3.79;347.071;gps;0.063;0;0;0;1".
"205;2022-09-09;10:07:41;46.136;14.604;3.79;344.226;gps;0.063;0;0;0;1".
"206;2022-09-09;10:07:42;46.136;14.604;3.79;342.847;gps;0.062;0;0;0;1".
"207;2022-09-09;10:07:43;46.136;14.604;3.79;343.521;gps;0.062;0;0;0;1".
"208;2022-09-09;10:07:44;46.136;14.604;3.79;344.198;gps;0.062;0;0;0;1".
"209;2022-09-09;10:07:45;46.136;14.604;3.79;344.026;gps;0.06;0;0;0;1".
"210;2022-09-09;10:07:46;46.136;14.605;3.79;344.182;gps;0.059;0;0;0;1".
"211;2022-09-09;10:07:47;46.136;14.605;3.79;343.563;gps;0.059;0;0;0;1".
"212;2022-09-09;10:07:48;46.136;14.605;3.79;343.499;gps;0.06;0;0;0;1".
"213;2022-09-09;10:07:49;46.136;14.605;3.79;343.493;gps;0.058;0;0;0;1".
"214;2022-09-09;10:07:51;46.136;14.605;5.36;344.191;averaged;0.055;0.001;0.001;0;2".
"215;2022-09-09;10:07:53;46.136;14.605;5.36;344.367;averaged;0.054;0.001;0;0;2".
"216;2022-09-09;10:07:55;46.135;14.605;5.36;344.078;averaged;0.052;0.001;0.001;0;2".
"217;2022-09-09;10:08:17;46.135;14.606;18.177;344.2;averaged;0.062;0.005;0.001;0;23".
"218;2022-09-09;10:08:19;46.135;14.606;5.36;344.108;averaged;0.059;0;0;0;2".
"219;2022-09-09;10:08:20;46.135;14.606;3.79;344.587;gps;0.059;0;0;0;1".
"220;2022-09-09;10:08:21;46.135;14.606;3.79;345.348;gps;0.06;0;0;0;1".
"221;2022-09-09;10:08:22;46.135;14.606;3.79;344.905;gps;0.059;0;0;0;1".
"222;2022-09-09;10:08:23;46.135;14.606;3.79;345.724;gps;0.058;0;0;0;1".
"223;2022-09-09;10:08:24;46.135;14.606;3.79;345.354;gps;0.059;0;0;0;1".
"224;2022-09-09;10:08:25;46.135;14.606;3.79;344.595;gps;0.059;0;0;0;1".
"225;2022-09-09;10:08:26;46.135;14.606;3.79;343.988;gps;0.057;0;0;0;1".
"226;2022-09-09;10:08:27;46.135;14.607;3.79;343.826;gps;0.057;0;0;0;1".
"227;2022-09-09;10:08:28;46.135;14.607;3.79;343.255;gps;0.057;0;0;0;1".
"228;2022-09-09;10:08:29;46.135;14.607;3.79;343.394;gps;0.057;0;0;0;1".
"229;2022-09-09;10:08:30;46.135;14.607;3.79;342.724;gps;0.057;0;0;0;1".
"230;2022-09-09;10:08:31;46.135;14.607;3.79;342.462;gps;0.056;0;0;0;1".
"231;2022-09-09;10:08:32;46.135;14.607;3.79;342.828;gps;0.057;0;0;0;1".
"232;2022-09-09;10:08:33;46.135;14.608;3.79;342.577;gps;0.057;0;0;0;1".
"233;2022-09-09;10:08:34;46.135;14.608;3.79;342.39;gps;0.059;0;0;0;1".
"234;2022-09-09;10:08:35;46.135;14.608;3.79;342.455;gps;0.06;0;0;0;1".
"235;2022-09-09;10:08:36;46.135;14.608;3.79;342.636;gps;0.06;0;0;0;1".
"236;2022-09-09;10:08:37;46.135;14.608;3.79;342.447;gps;0.058;0;0;0;1".
"237;2022-09-09;10:08:38;46.135;14.608;3.79;343.406;gps;0.058;0;0;0;1".
"238;2022-09-09;10:08:39;46.135;14.609;3.79;343.577;gps;0.059;0;0;0;1".
"239;2022-09-09;10:08:40;46.135;14.609;3.79;342.933;gps;0.059;0;0;0;1".
"240;2022-09-09;10:08:41;46.135;14.609;3.79;342.661;gps;0.059;0;0;0;1".
"241;2022-09-09;10:08:42;46.135;14.609;3.79;342.866;gps;0.059;0;0;0;1".
"242;2022-09-09;10:08:43;46.135;14.609;3.79;342.051;gps;0.059;0;0;0;1".
"243;2022-09-09;10:08:44;46.135;14.609;3.79;342.387;gps;0.061;0;0;0;1".
"244;2022-09-09;10:08:45;46.135;14.61;3.79;341.042;gps;0.063;0;0;0;1".
"245;2022-09-09;10:08:46;46.135;14.61;3.79;343.033;gps;0.064;0;0;0;1".
"246;2022-09-09;10:08:47;46.135;14.61;3.79;341.564;gps;0.065;0;0;0;1".
"247;2022-09-09;10:08:48;46.135;14.61;3.79;342.359;gps;0.065;0;0;0;1".
"248;2022-09-09;10:08:49;46.135;14.61;3.79;340.239;gps;0.064;0;0;0;1".
"249;2022-09-09;10:08:50;46.135;14.61;3.79;339.399;gps;0.062;0;0;0;1".
"250;2022-09-09;10:08:51;46.135;14.611;3.79;339.562;gps;0.06;0;0;0;1".
"251;2022-09-09;10:08:52;46.135;14.611;3.79;339.526;gps;0.059;0;0;0;1".
"252;2022-09-09;10:08:53;46.135;14.611;3.79;340.372;gps;0.057;0;0;0;1".
"253;2022-09-09;10:08:54;46.135;14.611;3.79;338.694;gps;0.058;0;0;0;1".
"254;2022-09-09;10:08:55;46.135;14.611;3.79;339.139;gps;0.059;0;0;0;1".
"255;2022-09-09;10:08:56;46.135;14.611;3.79;338.234;gps;0.06;0;0;0;1".
"256;2022-09-09;10:08:57;46.135;14.612;3.79;338.915;gps;0.06;0;0;0;1".
"257;2022-09-09;10:08:58;46.135;14.612;3.79;338.573;gps;0.059;0;0;0;1".
"258;2022-09-09;10:08:59;46.135;14.612;3.79;337.843;gps;0.059;0;0;0;1".
"259;2022-09-09;10:09:00;46.135;14.612;3.79;338.207;gps;0.061;0;0;0;1".
"260;2022-09-09;10:09:01;46.135;14.612;3.79;338.717;gps;0.06;0;0;0;1".
"261;2022-09-09;10:09:02;46.135;14.612;3.79;340.667;gps;0.06;0;0;0;1".
"262;2022-09-09;10:09:03;46.135;14.613;3.79;341.243;gps;0.06;0;0;0;1".
"263;2022-09-09;10:09:04;46.135;14.613;3.79;341.947;gps;0.058;0;0;0;1".
"264;2022-09-09;10:09:05;46.135;14.613;3.79;342.067;gps;0.06;0;0;0;1".
"265;2022-09-09;10:09:06;46.135;14.613;3.79;342.016;gps;0.06;0;0;0;1".
"266;2022-09-09;10:09:07;46.135;14.613;3.79;342.746;gps;0.059;0;0;0;1".
"267;2022-09-09;10:09:08;46.135;14.613;3.79;343.06;gps;0.058;0;0;0;1".
"268;2022-09-09;10:09:09;46.135;14.613;3.79;342.856;gps;0.058;0;0;0;1".
"269;2022-09-09;10:09:10;46.135;14.614;3.79;342.628;gps;0.06;0;0;0;1".
"270;2022-09-09;10:09:11;46.135;14.614;3.79;343.171;gps;0.061;0;0;0;1".
"271;2022-09-09;10:09:12;46.135;14.614;3.79;343.398;gps;0.063;0;0;0;1".
"272;2022-09-09;10:09:13;46.135;14.614;3.79;343.085;gps;0.064;0;0;0;1".
"273;2022-09-09;10:09:14;46.135;14.614;3.79;342.935;gps;0.065;0;0;0;1".
"274;2022-09-09;10:09:15;46.135;14.614;3.79;343.563;gps;0.063;0;0;0;1".
"275;2022-09-09;10:09:16;46.135;14.614;3.79;343.098;gps;0.062;0;0;0;1".
"276;2022-09-09;10:09:17;46.135;14.615;3.79;343.187;gps;0.061;0;0;0;1".
"277;2022-09-09;10:09:18;46.135;14.615;3.79;343.212;gps;0.061;0;0;0;1".
"278;2022-09-09;10:09:19;46.135;14.615;3.79;342.495;gps;0.061;0;0;0;1".
"279;2022-09-09;10:09:20;46.135;14.615;3.79;341.467;gps;0.061;0;0;0;1".
"280;2022-09-09;10:09:21;46.135;14.615;3.79;340.589;gps;0.064;0;0;0;1".
"281;2022-09-09;10:09:22;46.135;14.615;3.79;340.39;gps;0.064;0;0;0;1".
"282;2022-09-09;10:09:23;46.135;14.615;3.79;341.358;gps;0.063;0;0;0;1".
"283;2022-09-09;10:09:24;46.135;14.615;3.79;341.383;gps;0.061;0;0;0;1".
"284;2022-09-09;10:09:25;46.135;14.615;3.79;341.685;gps;0.061;0;0;0;1".
"285;2022-09-09;10:09:26;46.135;14.615;3.79;342.444;gps;0.06;0;0;0;1".
"286;2022-09-09;10:09:27;46.135;14.615;3.79;342.353;gps;0.062;0;0;0;1".
"287;2022-09-09;10:09:28;46.135;14.615;3.79;342.97;gps;0.061;0;0;0;1".
