;"""N";Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [μSv/h];Standard deviation;Standard error of the mean value;CF;"Number of measured points""."
7993;"""7994";2021-09-06;12:50:01;45.919999999999995;15.5;3.79;202.181;gps;0.086;0;0;0;"1""."
49232;"""3385";2021-09-23;07:20:37;46.580000000000005;15.69;3.79;331.565;gps;0.086;0;0;0;"1""."
50013;"""4166";2021-09-23;07:46:11;46.64;15.920000000000002;3.79;292.383;gps;0.087;0;0;0;"1""."
47886;"""2039";2021-09-23;06:36:32;46.269999999999996;15.209999999999999;3.79;312.005;gps;0.087;0;0;0;"1""."
49264;"""3417";2021-09-23;07:21:40;46.589999999999996;15.709999999999999;3.79;301.312;gps;0.087;0;0;0;"1""."
49965;"""4118";2021-09-23;07:44:40;46.62;15.91;3.79;308.266;gps;0.087;0;0;0;"1""."
49274;"""3427";2021-09-23;07:22:00;46.589999999999996;15.72;3.79;299.389;gps;0.087;0;0;0;"1""."
49102;"""3255";2021-09-23;07:16:21;46.52;15.68;3.953;312.421;gps;0.087;0;0;0;"1""."
49432;"""3585";2021-09-23;07:27:10;46.580000000000005;15.809999999999999;3.79;302.241;gps;0.087;0;0;0;"1""."
49115;"""3268";2021-09-23;07:16:46;46.52;15.69;3.79;306.2;gps;0.087;0;0;0;"1""."
63539;"""4593";2021-12-21;10:57:25;46.06;14.44;72.9;363.2;network;0.087;0;0;0;"1""."
4688;"""4689";2021-09-06;11:01:43;45.87;15.280000000000001;3.79;200.967;gps;0.087;0;0;0;"1""."
57801;"""4852";2022-05-28;19:36:22;46.050000000000004;14.5;5.36;343.231;averaged;0.087;0.001;0.001;0;"2""."
14433;"""434";2021-09-08;08:23:03;45.919999999999995;15.469999999999999;2500;0;network;0.087;0;0;0;"1""."
46462;"""615";2021-09-23;05:50:02;46.050000000000004;14.58;3.79;321.226;gps;0.087;0;0;0;"1""."
3824;"""3825";2021-09-06;10:33:23;45.970000000000006;14.7;3.79;455.237;gps;0.087;0;0;0;"1""."
49118;"""3271";2021-09-23;07:16:52;46.529999999999994;15.700000000000001;3.79;305.106;gps;0.088;0;0;0;"1""."
