;"""N";Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [μSv/h];Standard deviation;Standard error of the mean value;CF;"Number of measured points""."
1621;"""317";2022-09-09;09:25:37;46.0;14.4;3.79;348.092;gps;0.06;0;0;0;"1""."
1678;"""374";2022-09-09;09:26:34;46.1;14.4;3.79;360.536;gps;0.063;0;0;0;"1""."
776;"""777";2022-09-09;10:18:03;46.0;14.6;3.79;376.996;gps;0.07;0;0;0;"1""."
59;"""60";2022-09-09;10:04:35;46.1;14.6;5.36;349.749;averaged;0.072;0.001;0;0;"2""."
1906;"""602";2022-09-09;09:30:27;46.1;14.5;3.79;341.836;gps;0.079;0;0;0;"1""."
1434;"""130";2022-09-09;09:21:26;46.0;14.5;14.05;347.385;averaged;0.085;0;0;0;"2""."
